canonical_molecule,phase_from_cummings,cadro_category,mechanism_of_action,nct_ids,lead_sponsor_from_cummings,matched_ctgov_trials_count,matched_sponsors_ctgov,matched_countries_ctgov,nordic_presence,eu_presence
Leucettinib-21,Phase 1,Tau,Antagonizes activity of the protein (DYRK1A protein kinase) derived from the DYRK1A gene to decrease tau hyperphosphorylation,,Perha Pharmaceuticals,0,,,FALSE,FALSE
LY03017,Phase 1,Neurotransmitter Receptors,Undisclosed,,Luye Pharma Group Ltd.,0,,,FALSE,FALSE
LY03020,Phase 1,Neurotransmitter Receptors,A dual TAAR1/5-HT2CR agonist,,Luye Pharma Group Ltd.,0,,,FALSE,FALSE
LY3954068,Phase 1,Tau,Undisclosed,,Eli Lilly and Company,0,,,FALSE,FALSE
LY4006895,Phase 1,Undisclosed,Undisclosed,,Eli Lilly and Company,0,,,FALSE,FALSE
Mecamylamine,Phase 1,Neurotransmitter Receptors,Nicotinic antagonist,,University of Vermont,0,,,FALSE,FALSE
MK-2214,Phase 1,Tau,Anti-tau monoclonal antibody,,Merck Sharp & Dohme LLC,1,Merck Sharp & Dohme LLC,Argentina|Australia|Belgium|Japan|Netherlands|South Korea|Spain|United Kingdom|United States,FALSE,TRUE
Nicotinamide riboside,Phase 1,Metabolism and Bioenergetics,Mitochondrial function enhancer and antioxidant,,Mclean Hospital,0,,,FALSE,FALSE
NIO752,Phase 1,Tau,Anti-tau antisense oligonucleotide,,"Novartis PharmaceuticalsUniversity College, London",0,,,FALSE,FALSE
NMRA-323511,Phase 1,Growth Factors and Hormones,Vasopressin V1a receptor antagonists,,"Neumora Therapeutics, Inc.",0,,,FALSE,FALSE
OLX-07010,Phase 1,Tau,Inhibits tau self-aggregation,,"Oligomerix, Inc",0,,,FALSE,FALSE
Plasma exchange,Phase 1,Inflammation,Anti-inflammatory,,Oslo University Hospital,0,,,FALSE,FALSE
PMN310,Phase 1,Amyloid beta,Humanized immunoglobulin monoclonal antibody directed at oligomeric amyloid species,,"ProMis Neurosciences, Inc",0,,,FALSE,FALSE
Probiotics,Phase 1,Gut-brain Axis,Inflammation/immunity,,University of Nicosia,0,,,FALSE,FALSE
Psilocybin,Phase 1,Neurotransmitter receptors,Serotonin 2A receptor (5-HT2A) agonist,,Johns Hopkins University,0,,,FALSE,FALSE
Recombinant human serum albumin,Phase 1,Oxidative Stress,Antioxidant properties of albumin,,Protgen Ltd,0,,,FALSE,FALSE
Remternetug,Phase 1,Amyloid beta,Anti-amyloid monoclonal antibody,,Eli Lilly and Company,4,Alzheimer's Association|Eli Lilly and Company|GHR Foundation|National Institute on Aging (NIA)|Private Donors|Washington University School of Medicine,Argentina|Australia|Canada|China|Colombia|France|Germany|Italy|Japan|Mexico|Netherlands|New Zealand|Puerto Rico|South Korea|Spain|Taiwan|United Kingdom|United States,FALSE,TRUE
SHR-1707,Phase 1,Amyloid beta,Anti-amyloid monoclonal antibody,,Atridia Pty Ltd.,1,"Shanghai Hengrui Pharmaceutical Co., Ltd.",China,FALSE,FALSE
Sirolimus,Phase 1,Vasculature,Enhances cerebral blood flow; also a mammalian target of rapamycin (mTOR) inhibitor with immunosuppressive effects,,University of Missouri-Columbia,0,,,FALSE,FALSE
TML-6,Phase 1,Inflammation,Synthetic curcumin analogue with anti-inflammatory properties; activates autophagy; reduces amyloid accumulation,,"Merry Life Biomedical Co., Ltd.",0,,,FALSE,FALSE
VG-3927,Phase 1,Inflammation,TREM2 agonist,,"Vigil Neuroscience, Inc.",0,,,FALSE,FALSE
VNA-318,Phase 1,Metabolism and Bioenergetics,Induction of mitophagy,,VANDRIA,0,,,FALSE,FALSE
